,order_id,customer_id,amount,created_at
0,2147328163975,cus_49381,8.9,2020-04-13 22:00:41+00:00
1,2147322200199,cus_49380,25.25,2020-04-13 21:57:28+00:00
2,2147301163143,cus_49379,37.95,2020-04-13 21:47:14+00:00
3,2147300081799,cus_49378,9.54,2020-04-13 21:46:40+00:00
4,2147299360903,cus_23551,33.5,2020-04-13 21:46:13+00:00
5,2147297230983,cus_49376,231.67,2020-04-13 21:45:14+00:00
6,2147296444551,cus_49375,16.91,2020-04-13 21:44:49+00:00
7,2147262333063,cus_49372,26.81,2020-04-13 21:26:38+00:00
8,2147262234759,cus_49374,9.26,2020-04-13 21:26:41+00:00
9,2147262136455,cus_36593,4.96,2020-04-13 21:26:39+00:00
10,2147252535431,cus_43241,9.47,2020-04-13 21:21:40+00:00
11,2147240476807,cus_49370,10.99,2020-04-13 21:15:01+00:00
12,2147238576263,cus_49369,8.9,2020-04-13 21:14:05+00:00
13,2147236675719,cus_49368,8.9,2020-04-13 21:13:19+00:00
14,2147235299463,cus_49367,19.9,2020-04-13 21:12:39+00:00
15,2147203809415,cus_49366,10.32,2020-04-13 20:56:37+00:00
16,2147181723783,cus_12575,33.63,2020-04-13 20:45:24+00:00
17,2147147612295,cus_49364,8.99,2020-04-13 20:29:27+00:00
18,2147136667783,cus_49363,19.9,2020-04-13 20:24:13+00:00
19,2147131588743,cus_49362,9.61,2020-04-13 20:21:36+00:00
20,2147129688199,cus_49361,18.36,2020-04-13 20:20:37+00:00
21,2147108749447,cus_43954,20.0,2020-04-13 20:11:06+00:00
22,2147086663815,cus_49359,9.75,2020-04-13 20:01:39+00:00
23,2147076145287,cus_49358,27.5,2020-04-13 19:57:33+00:00
24,2147049930887,cus_49357,9.43,2020-04-13 19:46:35+00:00
25,2147049111687,cus_49356,53.57,2020-04-13 19:46:16+00:00
26,2147042754695,cus_49355,26.57,2020-04-13 19:43:11+00:00
27,2147024109703,cus_19128,49.95,2020-04-13 19:35:01+00:00
28,2147012378759,cus_49353,16.49,2020-04-13 19:29:45+00:00
29,2147005661319,cus_49352,10.05,2020-04-13 19:26:37+00:00
30,2147001860231,cus_49351,59.7,2020-04-13 19:25:01+00:00
31,2146985869447,cus_49350,19.9,2020-04-13 19:18:14+00:00
32,2146982101127,cus_49349,9.47,2020-04-13 19:16:36+00:00
33,2146971254919,cus_49348,9.43,2020-04-13 19:11:34+00:00
34,2146954969223,cus_21541,17.99,2020-04-13 19:03:43+00:00
35,2146949922951,cus_49346,16.91,2020-04-13 19:01:02+00:00
36,2146943271047,cus_48824,8.9,2020-04-13 18:58:12+00:00
37,2146939961479,cus_49344,9.43,2020-04-13 18:56:34+00:00
38,2146936324231,cus_49343,174.82,2020-04-13 18:55:01+00:00
39,2146932260999,cus_25326,25.0,2020-04-13 18:53:23+00:00
40,2146928689287,cus_49341,8.99,2020-04-13 18:52:07+00:00
41,2146927345799,cus_49340,20.84,2020-04-13 18:51:35+00:00
42,2146897789063,cus_49339,9.43,2020-04-13 18:41:34+00:00
43,2146895331463,cus_46194,33.4,2020-04-13 18:40:35+00:00
44,2146886254727,cus_49337,23.59,2020-04-13 18:36:15+00:00
45,2146873901191,cus_49336,21.54,2020-04-13 18:31:36+00:00
46,2146873802887,cus_1302,34.95,2020-04-13 18:31:34+00:00
47,2146867445895,cus_1289,60.0,2020-04-13 18:28:39+00:00
48,2146866790535,cus_23809,10.5,2020-04-13 18:28:24+00:00
